%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=208023, 2015/09/24 18:2:12.25)
1 5 1.192567e+01 1.000000e+00  7.430894029075713479e+04  7.430894029075713479e+04  7.560446728637820343e+04  7.679003174136819143e+04
2 9 1.379417e+01 1.000000e+00  7.381108292082349362e+04  7.381108292082349362e+04  7.552923050485423300e+04  7.744436930509564991e+04
3 13 3.144460e+01 1.000000e+00  7.264129919930742471e+04  7.264129919930742471e+04  7.310470808234560536e+04  7.635974873651182861e+04
4 17 3.309366e+01 1.000000e+00  7.252523993907710246e+04  7.252523993907710246e+04  7.370362992066703737e+04  7.679330752685664629e+04
5 21 4.977159e+01 1.000000e+00  6.745628628172948083e+04  6.745628628172948083e+04  7.263847985240176786e+04  7.468423454670564388e+04
6 25 6.746006e+01 1.000000e+00  6.288974228586330719e+04  6.288974228586330719e+04  6.953904583026566252e+04  7.372248194217043056e+04
7 29 1.006468e+02 1.000000e+00  5.603128944724468602e+04  5.603128944724468602e+04  6.203269226424994122e+04  7.736048808301796089e+04
8 33 2.735863e+02 1.000000e+00  3.272629958521800290e+04  3.272629958521800290e+04  4.060536559847614262e+04  7.435719925399047497e+04
9 37 2.985781e+02 1.000000e+00  3.272629958521800290e+04  3.631057122708149109e+04  3.915537737596971419e+04  4.473266579134464700e+04
10 41 7.461549e+02 1.000000e+00  5.198482463578688112e+03  5.198482463578688112e+03  2.046516704197784929e+04  3.164078143030236242e+04
11 45 1.075319e+03 1.000000e+00  5.554203623369102161e+02  5.554203623369102161e+02  2.358004436597817403e+03  8.661249000000000524e+04
12 49 1.073859e+03 1.000000e+00  5.554203623369102161e+02  3.419689123813747756e+03  1.868866526712492850e+04  6.463648138437589660e+04
13 53 9.948068e+02 1.000000e+00  2.565310013855980174e+02  2.565310013855980174e+02  1.409516315410228799e+03  8.750046031076148211e+03
14 57 8.154706e+02 1.000000e+00  2.565310013855980174e+02  1.425736324803868683e+03  1.973188036551341838e+03  2.841799320371386420e+04
15 61 5.974471e+02 1.000000e+00  2.565310013855980174e+02  6.400419536687105619e+02  1.264182199680693884e+03  2.595950253347550188e+03
16 65 4.073750e+02 1.000000e+00  1.921865259529934633e+02  1.921865259529934633e+02  1.193672014890108585e+03  1.299854634013949635e+03
17 69 5.437150e+02 1.000000e+00  5.158266772652978283e+00  5.158266772652978283e+00  8.094005944399449959e+01  1.270372435070463325e+03
18 73 4.412974e+02 1.000000e+00  4.722443035536732836e+00  4.722443035536732836e+00  9.672814441038058320e+00  2.596010812073483862e+02
19 77 3.222540e+02 1.000000e+00  2.334610174237406355e+00  2.334610174237406355e+00  2.471518433534617998e+01  4.308837348153963376e+02
20 81 2.253088e+02 1.000000e+00  2.304015200505813432e+00  2.304015200505813432e+00  9.441106184103318810e+01  1.962553709227711067e+02
21 85 1.850720e+02 1.000000e+00  9.597968900018588601e-02  9.597968900018588601e-02  3.385169290162080014e+00  8.070861212607843171e+00
22 89 2.060069e+02 1.000000e+00  9.597968900018588601e-02  8.221613248945354613e+00  2.307830865848488600e+01  3.122277795741076289e+01
23 93 1.533360e+02 1.000000e+00  9.597968900018588601e-02  5.269825732672692276e+00  1.392913467570158303e+01  2.502814899581685992e+01
24 97 1.601383e+02 1.000000e+00  9.597968900018588601e-02  3.666683244899052174e-01  1.360921052422413524e+01  6.114776288690882922e+01
25 101 1.462810e+02 1.000000e+00  9.597968900018588601e-02  3.134095130648342775e-01  4.368109404104513871e+00  1.984324014263622971e+01
26 105 1.061716e+02 1.000000e+00  2.232000907949246993e-02  2.232000907949246993e-02  3.533353879001222442e+00  3.634787768274106412e+01
27 109 8.616907e+01 1.000000e+00  2.232000907949246993e-02  2.683149023156086027e-02  1.710535366380973032e+00  3.509204042469881824e+00
28 113 6.069018e+01 1.000000e+00  2.232000907949246993e-02  4.469573760361305464e-02  6.532076673031975700e-01  1.689530729325004588e+00
29 117 4.456430e+01 1.000000e+00  2.232000907949246993e-02  1.551079623883766245e-01  3.119503310408384689e-01  9.508164242890834172e-01
30 121 3.712670e+01 1.000000e+00  4.844099546072079196e-03  4.844099546072079196e-03  8.603922089102129800e-02  1.406009273528026626e-01
31 125 3.831299e+01 1.000000e+00  4.844099546072079196e-03  1.031258336254231578e-02  2.405893415127527413e-02  5.817753291556470446e-02
32 129 2.798590e+01 1.000000e+00  4.844099546072079196e-03  9.461722974939522010e-03  4.391477868486996783e-02  1.534061831024324807e-01
33 133 1.923295e+01 1.000000e+00  4.035071935483453172e-03  4.035071935483453172e-03  8.832903169050970726e-03  1.414941775107852670e-02
34 137 2.055136e+01 1.000000e+00  1.114722571283383945e-03  1.114722571283383945e-03  1.365143376509461715e-03  6.473732351797701484e-03
35 141 1.562357e+01 1.000000e+00  7.220532797778768033e-06  7.220532797778768033e-06  9.287829943837599272e-03  2.335577893893735907e-02
